﻿(a)         Reply Slip,(a)         回覆回條
"(1)     when you give the IA a notice in writing before the expiry of the period of 21 days after the date the Decision Notice is served, indicating that you will not apply to the IAT for a review of the decision; or","(a)	當你在決定通知書送達後的21天期限屆滿前以書面通知保監局，表明你將不會向上訴審裁處申請覆核有關決定；"
"(2)     when the period of 21 days after the date the Decision Notice is served on you expires, if you have not applied for a review of the decision within that of 21 days period; or","(b)	當決定通知書送達後的21天期限屆滿，如果你沒有在21天期限內申請覆核有關決定；或"
"(3)     if you apply for a review of the decision within the period of 21 days after the date the Decision Notice is served on you,","(c)	如果你在決定通知書送達後的21天期限內就有關決定提出覆核申請，"
"(a)     where the decision is confirmed by the IAT, at the time the decision is confirmed; or","(i)	如果該決定是上訴審裁處確認的，在確認決定時；或者"
"(b)     where the decision is varied, or substituted by another decision, by the IAT, at the time the decision is varied or substituted, subject to the terms of the variation or substitution; or","(ii)	當上訴審裁處以另一決定更改或替代該決定時，在該決定被更改或替代的時候，以該更改或替代的條款為準；或者"
(b)         List of Documents,(b)         文件清單
"(c)     where your application is withdrawn, at the time the application is withdrawn.","(iii)	當你的申請被撤回，在撤回申請時。"
"(c)         Copies of sections 64O, 81, 116 and 121 of the IO",(c)         《條例》第 64O、81、116 和 121 條。
"(collectively, the ""Matter(s)"").",(以下簡稱「有關事宜」)
[The interview will be conducted in Cantonese and audio-recorded.],[本局會以廣東話和錄音形式進行是次會見。]
__________________________________________,__________________________________________
______________________________________________________________________________,______________________________________________________________________________
"□	I do not intend to make any representation in response to the matters stated in the NPDA (including sections A and D of the NPDA)","□	我無意就建議紀律行動通知書中所述的事項作任何申述 （包括建議紀律行動通知書的 A 和 D 部）"
"□	I wish to make oral representations in response to the matters stated in the NPDA (including sections A and D of the NPDA) for the following reason(s):","□	我希望就建議紀律行動通知書所述的事項作口頭申述（包括建議紀律行動通知書的 A 和 D 部），基於以下理由:"
"□	I wish to make the following written representation in response to the matters stated in the NPDA (including sections A and D of the NPDA) (a separate written submission may be attached if space below is not sufficient):","□	我希望就建議紀律行動通知書所述的事項作以下的書面申述（包括建議紀律行動通知書的 A 和 D 部）(如下欄空位不足，可另頁填寫，並把附頁夾附於本回條一併遞交):"
"·         A copy of sections 41D, 41F, 41G, 41H, 41I and 121 / 64ZZH, 64ZZK, 64ZZL, 64ZZM, 64ZZN and 121 of the IO",·         《保險業條例》第41D、41F、41G、41H、41I及121條/64ZZH、64ZZK、64ZZL、64ZZM、64ZZN及121條的條文副本
·         A copy of the Direction to Investigate issued under section 41D(1)/ 64ZZH(1) of the IO,·         根據《保險業條例》第41D(1)/64ZZH(1) 條發出的運用調查權力的書面指示的副本
·         an offence under Part V of the Crimes Ordinance (Cap. 200); or,·         《刑事罪行條例》（第200章）第V部所訂罪行；或
"·         an offence under section 41G(1), (2), (3), (4) or (5) / 64ZZL(1), (2), (3), (4) or (5) of the IO;",·         《保險業條例》第41G(1)、(2)、(3)、(4)或(5) / 64ZZL(1)、(2)、(3)、(4)或(5)條所訂罪行；
·         Notice to request for attending an interview,·         出席會見通知書
·         Notice to request for written answers and production of records and documents,·         要求書面回答問題及交出紀錄及文件通知書
·         perjury.,·         作假證供罪。
·         Personal Information Collection Statement,·         收集個人資料聲明
